ID,חברה,מס' אתר,עיר,כתובת האתר,רשות מקומית,תחום שיפוט,X_ITM,Y_ITM,סוג אתר,תאריך היתר הקמה,תאריך היתר הפעלה,בדיקה תקופתית אחרונה,היתר קרינה,עוצמה מרבית תיאורטית בµW לסמר,העוצמה ביחס לסף הבריאותי [%],תאור נקודה בה התקבלה תוצאה מירבית,קובץ הקמה,קובץ הפעלה,טכנולוגיית שידור
1,סלקום,232,בית יצחק-שער חפר,ליד בריכת ייבוש,עמק חפר,עמק חפר,188906,693494,תורן קרקעי,23/12/2020,31/12/2023,17/08/2023,יש היתר,1.324,0.283,במבנה חד קומתי קרקע,http://documents.sviva.gov.il/B001_2_232_20201223_1527.pdf,http://documents.sviva.gov.il/B002_2_232_20231231_1305.pdf,דור 2 3 4 5
2,סלקום,233,ירושלים,ישיבת הכותל,ירושלים,ירושלים,222159,631391,אנטנת עוקץ,27/07/2020,25/12/2023,28/07/2024,יש היתר,55.916,7.072,במבנה קומה 3,http://documents.sviva.gov.il/B001_2_233_20200727_1110.pdf,http://documents.sviva.gov.il/B002_2_233_20231225_1023.pdf,דור 2 3 4
3,סלקום,234,ירושלים,מלון הר ציון-דרך חברון 15 י-ם,ירושלים,ירושלים,221512,630730,תורן על הגג,17/01/2022,22/08/2023,07/07/2024,יש היתר,44.54,5.781,במבנה קומה  3,http://documents.sviva.gov.il/B001_2_234_20220117_1315.pdf,http://documents.sviva.gov.il/B002_2_234_20230822_1428.pdf,דור 2 3 4 5
4,סלקום,235,ירושלים,רח` אלפסי 19 ירושלים,ירושלים,ירושלים,220226,631104,תורן על הגג,29/05/2023,25/12/2023,29/05/2024,יש היתר,61.64,7.7,אלפסי 12,http://documents.sviva.gov.il/B001_2_235_20230529_0848.pdf,http://documents.sviva.gov.il/B002_2_235_20231225_1020.pdf,דור 2 3 4
5,סלקום,236,ירושלים,בית הדואר-סאלח א-דין,ירושלים,ירושלים,222216,632340,אנטנת עוקץ,14/09/2022,24/12/2023,01/09/2024,יש היתר,67.6,7.75,בניין מגורים,http://documents.sviva.gov.il/B001_2_236_20220914_1014.pdf,http://documents.sviva.gov.il/B002_2_236_20231224_1730.pdf,דור 2 3 4 5
6,סלקום,240,רעננה,דרך ירושלים 36,רעננה,רעננה,186532,677263,תורן על הגג,07/01/2014,27/02/2023,23/09/2024,יש היתר,11.64,1.31,בתוך כפר נוער,http://documents.sviva.gov.il/B001_2_240_20140107_0722.pdf,http://documents.sviva.gov.il/B002_2_240_20230227_1310.pdf,דור 2 3 4
7,סלקום,241,נתניה,קניון השרון רח` הרצל 60,נתניה,נתניה,187225,692554,אנטנת עוקץ,05/09/2023,19/02/2024,23/09/2024,יש היתר,52.15,6.25,"מגדל משרדים ב באלון צבי 13 פינת פ""ת",http://documents.sviva.gov.il/B001_2_241_20240818_1120.pdf,http://documents.sviva.gov.il/B002_2_241_20240219_0950.pdf,דור 2 3 4 5
8,סלקום,242,טייבה,מרכזת בזק טייבה,טייבה,טייבה,200272,685428,מתקן גישה אלחוטי,15/04/2018,02/01/2023,25/08/2024,יש היתר,67.54,8.26,גג מבנה מגורים,http://documents.sviva.gov.il/B001_2_242_20180415_1344.pdf,http://documents.sviva.gov.il/B002_2_242_20230102_1405.pdf,דור 3 4
9,סלקום,243,נתניה,"אזה""ת שיאים 2000  יד חרוצים",נתניה,נתניה,187559,687938,תורן על הגג,09/02/2021,25/12/2023,23/09/2024,יש היתר,48.041,6.154,במבנה רחוב יד חרוצים 38ד קומה 1,http://documents.sviva.gov.il/B001_2_243_20210209_1807.pdf,http://documents.sviva.gov.il/B002_2_243_20231225_1004.pdf,דור 2 3 4 5
10,סלקום,244,ירושלים,ציר שועפת,ירושלים,ירושלים,222245,635142,תורן על הגג,31/12/2020,14/06/2023,05/06/2024,יש היתר,63.89,7.76,מבנה מערבי,http://documents.sviva.gov.il/B001_2_244_20230710_1552.pdf,http://documents.sviva.gov.il/B002_2_244_20230614_1045.pdf,דור 2 3 4
